#20
net20.sam
&0 CRUDSVILLE
&1 DEGUEUVILLE
&2 MšLLDORF		
&3 FETENZIA		
&4 VILLA GUARRA	
&5 SKRŽPSTAD		




#21
net21.sam
&0 NICETOWN
&1 FACIVILLE  
&2 NETTES STŽDTCHEN
&3 BELPAESE		
&4 CIUDAD FELIZ	
&5 M™NSTERSTAD		


#22
net22.sam
&0 EMERGENCY!
&1 SACRAIN!   
&2 NOTFALL!		
&3 EMERGENZA!		
&4 ­EMERGENCIA!	
&5 AKUTFALL!		


#23
net23.sam
&0 RUMBLETOWN
&1 TREMBELOTTE
&2 SCHšTTELSTADT	
&3 BORGO SCOSSO	
&4 TEMBLORONES		
&5 MULLERSTAD		


#24
net24.sam
&0 ST. SCAVENGERS
&1 ST CREVARD 
&2 KšNDIGUNGSTAL	
&3 PRENDI-AL-VOLO	
&4 BUITRAGUE¥O		
&5 HOPPJERKOR		






